text,created_at
Semakin ke sini Semakin Melucu. Dari Daon Kelor Jangkrik Belalang Ulat Sagu sampai Ubi. Semua gratis di kebun² dan hutan Indonesia. Itu arti sesungguhnya Makan Bergizi Gratis.  ,Mon Feb 10 23:49:19 +0000 2025
@Ariz8881 @hrdbacot Seorang anak dapat makan gratis tapi jalan menuju sekolahnya jelek,Mon Feb 10 23:48:21 +0000 2025
Pemerintah Kota Samarinda merayakan Hari Jadi ke-357 dan HUT ke-65 Pemkot Samarinda dengan berbagai kegiatan meriah. Salah satu acara utama adalah jalan sehat dan makan gratis yang digelar di GOR Segiri pada Minggu (9/2/2025). ,Mon Feb 10 23:45:24 +0000 2025
Ketahanan pangan bukan hanya tanggung jawab pemerintah tapi juga kita semua. Kapolri Jenderal Polisi Drs. Listyo Sigit Prabowo  mendukung penuh langkah strategis pemerintah dalam mewujudkan swasembada pangan dan memberikan makan bergizi gratis. ,Mon Feb 10 23:43:37 +0000 2025
@alfauzi7494 @Piyusaja2 @aniesbaswedan Anies selalu bilang kaji ulang prioritaskan anggaran ke yg perlu. Ikn paling dapet dikit karena ga makan siang gratis atau malah engga kayak sekarang. Mending setengah jalan distop daripada 75% jadi dibangun tapi ga ada manfaatnya,Mon Feb 10 23:43:35 +0000 2025
@cwe_hebat @alrezki @enoliska_ Inget bgt dulu refal sm umay dibully abis zaman kampanye karena mengkritisi makan siang gratis. IG mereka saat itu bnyk cacian blacklist lah film nya dll. Para buzzer itu emg nyata adanya. Skrg adem ayem aja mereka. Film mereka pun ttp banyak yg nonton,Mon Feb 10 23:42:50 +0000 2025
Pandangan saya seorang GURU Anak2 masa depan ini akan lbih Berbahagia lg jk mrk diberikan PENDIDIKAN GRATIS bukannya MBG Krn untk rakyat miskin yg bingung tak mengerti bgmn mmbiayai pendidikan tinggi anak2nya Klo makan rakyat msh bisa #LawanAksiKudetaJokowi #LawanAksiKudetaJokowi,Mon Feb 10 23:37:52 +0000 2025
Program makan bergizi gratis langkah strategis Pemerintah menuju Indonesia Emas 2045 #MakanBergiziGratis ,Mon Feb 10 23:37:49 +0000 2025
@arifin34533 Karna makan gratis aih,Mon Feb 10 23:37:10 +0000 2025
@Mdy_Asmara1701 demi makan siang gratis sampai harus ngorbanin makan orang lain .,Mon Feb 10 23:37:04 +0000 2025
Ah yang benar wo. Anaknya dikasi makan SIANG gratis ortunya di rumah gelagapan gimana nyiapin sarapan sama makan malam. Keren logika lu,Mon Feb 10 23:35:34 +0000 2025
@hnirankara Para penyefong jokowi yang penting bansos dan makan gratis!! ,Mon Feb 10 23:33:05 +0000 2025
HEBOHParadoks 100 Hari Kabinet PrabowoMau Efisiensi tapi KABINET OBESITASKasih Makan BERGIZI Gratis tapi PENDIDIKAN TIDAK JADI PRIORITAS⁉️ BANGKITLAH BANGSAKU‼️YUK ....Kita BANGUN Indonesia dengan SPIRITUALITASYAKINLAH Kita BISA🇲🇨 ,Mon Feb 10 23:31:41 +0000 2025
@Hanif_AF @JTrisha_JKT48 Orang dewasa tidak dapat makan gratis,Mon Feb 10 23:28:40 +0000 2025
@KompasTV Makan Gratis itu Rawan Korupsi BATALKAN SAJA Harga 10rb apanya yg Bergizi ???,Mon Feb 10 23:26:48 +0000 2025
Presiden RI Jenderal TNI (Purn.) H. Prabowo Subianto telah menginisiasi program ketahanan pangan nasional dan makan bergizi gratis melalui program Asta Cita. Polri terus berinovasi untuk meningkatkan kualitas Maksimal Berikan Pelayanan kepada Masyarakat dan #SukseskanAstaCita ,Mon Feb 10 23:25:29 +0000 2025
@tubbirfess biarin ajaa kan yang penting makan gratis gemoy joget kisah cinta yang kandas apalagi yaa ,Mon Feb 10 23:24:16 +0000 2025
Makan Bergizi Gratis Berobat Gratis Cek kesehatan Gratis Sekolah Gratis yang bayar cuma parkir sama nitip makan aja @mbahndi,Mon Feb 10 23:23:42 +0000 2025
